Benchmark,Width,Seed,Result,Partitions,Prune,Error_check,Transitions,Transitions_Pruned,Error,Est_Mean_se,Est_Max_se,New_Mean_Error,New_Max_Error,New_Min_Error,Error_std,Template,Tot_Time,Learner_Time,Certifier_Time,Abstraction_Time,Verification_Time
Water-tank-4d,[7],30,S,1,False,False,0,0,[0.125 0.075 0.075 0.075],,,[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],0,sig,126.60360909500014,48.55276561700157,26.548195994000707,0,30.243814
Water-tank-4d,[7],35,S,1,False,False,0,0,[0.125 0.075 0.075 0.075],,,[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],0,sig,122.46660465100103,45.44755263799925,28.088232960000823,0,29.55588
Water-tank-4d,[7],37,S,1,False,False,0,0,[0.125 0.075 0.075 0.075],,,[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],0,sig,120.61631925800066,44.50968782400014,25.980383096999503,0,29.591995
Water-tank-4d,[25],3,S,1,False,True,0,0,[0.67095891 0.62500633 0.62493123 0.65770864],,,[0.596 0.556 0.555 0.585],[0.596 0.556 0.555 0.585],[0.596 0.556 0.555 0.585],[0. 0. 0. 0.],pwc,173.22975774400038,172.05569969099997,0.48132115899898054,0.2230170190014178,0.326001
Water-tank-4d,[25],4,False,,False,True,,,,,,inf,inf,inf,inf,pwc,1151.2269500389993,516.8569852060009,71.46982105900315,6.679698722000467,
Water-tank-4d,[25],8,S,1,False,True,0,0,[0.61758701 0.6248422  0.62498182 0.60197949],,,[0.549 0.555 0.556 0.535],[0.549 0.555 0.556 0.535],[0.549 0.555 0.556 0.535],[0. 0. 0. 0.],pwc,189.26311000799979,188.15940673600016,0.44883802799813566,0.20182353400014108,0.325001
Water-tank-4d,[25],13,S,1,False,True,0,0,[0.66171147 0.62492505 0.62486298 0.59250649],,,[0.56  0.527 0.528 0.557],[0.56  0.527 0.528 0.557],[0.56  0.527 0.528 0.557],[0. 0. 0. 0.],pwc,193.33752192800057,192.19081827799891,0.46911649300091085,0.21013751499958744,0.283001
Water-tank-4d,[25],16,S,2,False,True,2,2,[0.74533999 0.62495749 0.62201463 0.63642152],,,[0.6225 0.5555 0.5305 0.505 ],[0.582 0.555 0.508 0.444],[0.663 0.556 0.553 0.566],[0.0405 0.0005 0.0225 0.061 ],pwc,224.86450671700004,190.8234972900009,0.5156144299999141,0.3537468779995834,32.8641
Water-tank-4d,[25],23,S,1,False,True,0,0,[0.65300688 0.62481776 0.62479414 0.57508599],,,[0.551 0.527 0.528 0.54 ],[0.551 0.527 0.528 0.54 ],[0.551 0.527 0.528 0.54 ],[0. 0. 0. 0.],pwc,193.11661000399909,191.9793602110003,0.49690761499914515,0.2051082670004689,0.305001
Water-tank-4d,[25],26,S,4,False,True,12,12,[0.7337933  0.6249648  0.64072981 0.68829261],,,[0.5655  0.3835  0.49775 0.5045 ],[0.443 0.213 0.395 0.347],[0.652 0.556 0.555 0.581],[0.07611997 0.16275211 0.06267127 0.09221036],pwc,401.0210972959994,306.9542407809986,0.9389677950002806,0.23027206599908823,92.1321
